@benvenuti_pizza | Benvenuti | Radom | pizza | 1222 | Włoska pizza w centrum Radomia, mocne zdjęcia dań na Instagramie
@fikacakerzeszow | Cukiernia Fika | Rzeszów | cukiernia/lody | | Kawa, wypieki, lunch bar i lody przy Rynku 24
@lacrepes_rynek25 | La Crepes Rynek 25 | Rzeszów | sniadania/brunch | | Francuskie śniadania, naleśniki i croissanty w sercu Rynku
@cafeparkrzeszow | Cafe Park | Rzeszów | kawiarnia | | Kawa 100 procent arabika plus tosty i bułki na śniadanie
@kawa.na.lawe.rzeszow | Kawa na Ławę | Rzeszów | kawiarnia | | Kawa, desery i śniadania codziennie od 9 do 20
@kotlownia.cafe | Kocia Kawiarnia Kotłownia | Rzeszów | kawiarnia | | Kocia kawiarnia, goście wracają regularnie i chętnie zbierają pieczątki
@cafetta.rzeszow | Cafetta | Rzeszów | kawiarnia | | Kawiarnia z deserami w Rzeszowie
@niebowmiescie.rzeszow | Niebo w Mieście | Rzeszów | kawiarnia | | Kawiarnia i miejsce spotkań z autorskim menu
### NIEPEWNE
(lokale z katalogu Glovo Radom - nazwa potwierdzona, handle IG do domknięcia ręcznie; IG blokuje weryfikację bez logowania)
? | Tandyr House Piekarnia Gruzińska | Radom | cukiernia/lody | | Gruzińska piekarnia z chlebem z pieca tandyr
? | Gruzińska Dusza Piekarnia i Bistro | Radom | restauracja | | Gruzińskie bistro i piekarnia, chaczapuri na miejscu
? | Bulka i Kulka Burger & Pizza Detroit | Radom | burgery | | Burgery i pizza w stylu Detroit
? | Lisia Nora Restaurant & Pizza | Radom | pizza | | Restauracja z pizzą, osobny lokal Pizza w Lisiej
? | JACKS Restaurant & Cafe | Radom | restauracja | | Restauracja i kawiarnia w jednym
? | PaTaThai | Radom | sushi/azja | | Kuchnia tajska z dowozem
? | Paro Radom | Radom | restauracja | | Lokal w Radomiu z dowozem przez Glovo
? | Sushi Room | Radom | sushi/azja | | Sushiarnia z dowozem po Radomiu
? | A Nóż Widelec | Radom | restauracja | | Bistro z menu dnia
? | Bar Karmnik | Radom | restauracja | | Bar z kuchnią domową
? | Tre Colori | Radom | wloska | | Włoskie menu, makarony i pizza
? | Marsimo | Radom | pizza | | Pizzeria z dowozem
? | Pizza Gusto | Radom | pizza | | Pizzeria z dowozem po Radomiu
? | Amerykański Burger | Radom | burgery | | Burgery w stylu amerykańskim
? | Curry Kitchen | Radom | sushi/azja | | Kuchnia indyjska z dowozem
? | Sałata i Szok | Radom | restauracja | | Lokal gastronomiczny w Radomiu
? | Turas Kebab Radom | Radom | kebab/street food | | Kebab z dowozem
? | Tendur Kebap Radom | Radom | kebab/street food | | Kebab turecki z dowozem
? | Bafra Kebab | Radom | kebab/street food | | Kebab z dowozem po Radomiu
? | Capital Kebab | Radom | kebab/street food | | Kebab z dowozem
? | Anadolu Kebab | Radom | kebab/street food | | Kebab turecki w Radomiu
? | Olympic Kebab & Pizza | Radom | kebab/street food | | Kebab i pizza w jednym lokalu
? | Używki Świata | Radom | kawiarnia | | Kawa i herbata, sklep z używkami
? | Lody Ice Cream Now | Radom | cukiernia/lody | | Lodziarnia z dowozem
? | Grillowany Kurczak | Radom | restauracja | | Kurczak z rożna i dania na wynos
? | Soczyste Steki | Radom | restauracja | | Steki i dania mięsne z dowozem
@lakocie.kawiarnia | Łakocie Kawiarnia | Kielce | kawiarnia | | Handle potwierdzony, miasto do weryfikacji
@restauracjaradosc | Restauracja Radość | Rzeszów | restauracja | | Handle potwierdzony, miasto do weryfikacji
