instagram,nazwa,miasto,nisza,szablon_dm,followers
@erbilkebab,Erbil Doner Kebab,Lublin,kebab/street food,KEBAB / STREET FOOD,
@abdulcudanakiju,Abdul Cuda na Kiju,Lublin,kebab/street food,KEBAB / STREET FOOD,
@zapiekanki_lublin,Zapiekanki Lublin,Lublin,kebab/street food,KEBAB / STREET FOOD,355
@munchiesstreetfood,Munchies Street Food,Lublin,kebab/street food,KEBAB / STREET FOOD,651
@kawiarniakawalek,Kawałek Specialty Coffee,Lublin,kawiarnia,KAWIARNIA,2437
@kapkapcafe,Kap Kap Cafe,Lublin,kawiarnia,KAWIARNIA,
@cafe_heca,Cafe Heca,Lublin,kawiarnia,KAWIARNIA,
@miejska_,Miejska,Lublin,kawiarnia,KAWIARNIA,
@nook_lublin,NOOK Cafe,Lublin,kawiarnia,KAWIARNIA,
@the_optimist_lublin,The Optimist,Lublin,kawiarnia,KAWIARNIA,3584
@kawiarnia.niewylej,Nie Wylej,Lublin,kawiarnia,KAWIARNIA,3414
@mraucafe,Mrau Cafe,Lublin,kawiarnia,KAWIARNIA,4948
@miedzy_slowami_lublin,Między Słowami,Lublin,kawiarnia,KAWIARNIA,
@cyngwajs.lbn,Cyngwajs,Lublin,kawiarnia,KAWIARNIA,1008
@cafeinsieme,Cafe Insieme,Lublin,kawiarnia,KAWIARNIA,845
@v.cafe_lublin,V.Cafe,Lublin,kawiarnia,KAWIARNIA,
@creamycafelublin,Creamy Cafe,Lublin,kawiarnia,KAWIARNIA,2130
@cafepatisserie_lublin,Cafè Pâtisserie,Lublin,kawiarnia,KAWIARNIA,1080
@kamienica_bistro_cafe,Kamienica bistro&cafe,Lublin,kawiarnia,KAWIARNIA,1202
@enzomuratore.roastery,Enzo Muratore,Lublin,kawiarnia,KAWIARNIA,
@akwarelacafe,Akwarela Cafe,Lublin,kawiarnia,KAWIARNIA,
@cafeteatralna,Café Teatralna,Lublin,kawiarnia,KAWIARNIA,
@cafelulu_lublin,Cafe LuLu,Lublin,kawiarnia,KAWIARNIA,316
@cafevelolublin,Cafe Velo,Lublin,kawiarnia,KAWIARNIA,
@probacafe,Próba Cafe,Lublin,kawiarnia,KAWIARNIA,227
@kawiarnia.umowieni,Kawiarnia Umówieni,Lublin,kawiarnia,KAWIARNIA,
@kawiarnia_mazagran,Kawiarnia Mazagran,Zamość,kawiarnia,KAWIARNIA,
@galicyacafe,Galicya Cafe,Zamość,kawiarnia,KAWIARNIA,
@kawa_na_lawe_cafe,Kawa na Ławę,Zamość,kawiarnia,KAWIARNIA,
@szmaragdowa.pulawy,Kawiarnia Szmaragdowa,Puławy,kawiarnia,KAWIARNIA,
@alchemia_cafe_pulawy,Alchemia Café,Puławy,kawiarnia,KAWIARNIA,
@slowcoffee_official,Kazimierska Palarnia Kawy (Slow Coffee),Puławy,kawiarnia,KAWIARNIA,
@piankacafe_pulawy,Pianka Cafe,Puławy,kawiarnia,KAWIARNIA,417
@cafekotpl,Cafe Kot – Kocia Kawiarnia,Chełm,kawiarnia,KAWIARNIA,576
@imbrykcafechelm,Imbryk Cafe&Lunch,Chełm,kawiarnia,KAWIARNIA,1725
@coffeelove_kawiarnia,CoffeeLove Kawiarnia,Biała Podlaska,kawiarnia,KAWIARNIA,
@auracafe_bp,Aura Café,Biała Podlaska,kawiarnia,KAWIARNIA,
@ciekawa_kawiarnia_bawialnia,CieKawa – kawiarnia i bawialnia,Biała Podlaska,kawiarnia,KAWIARNIA,
@karmelove_cafe,KarmeLove Cafe,Świdnik,kawiarnia,KAWIARNIA,
@k.coffe_lubartow,K.Coffe,Lubartów,kawiarnia,KAWIARNIA,
@lap.kawe.bilgoraj,LAP.Kawę,Biłgoraj,kawiarnia,KAWIARNIA,
@markowa.kawiarnia,Markowa Kawiarnia,Biłgoraj,kawiarnia,KAWIARNIA,
@kolor.kawiarnia,KOLOR Kawiarnia,Tomaszów Lubelski,kawiarnia,KAWIARNIA,1427
@aghartakazimierz,Agharta,Kazimierz Dolny,kawiarnia,KAWIARNIA,488
@herbaciarnia_u_dziwisza,Herbaciarnia Galeria U Dziwisza,Kazimierz Dolny,kawiarnia,KAWIARNIA,1756
@cukierniachmielewski,Cukiernia Chmielewski,Lublin,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,649
@corka_piekarza_lublin,Córka Piekarza,Lublin,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,2629
@bulkaikromka,Bułka i Kromka,Lublin,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,1946
@yummysweetspl,Yummy Sweets,Lublin,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,13000
@ciachobezcukru,Ciacho bez Cukru,Lublin,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,7216
@momscake.lublin,Mom's Cake,Lublin,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@pastorella.lublin,Pastorella,Lublin,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@bonbonsy_cukiernia_lublin,Bonbonsy,Lublin,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@sweetbaker_cukiernia,Sweet Baker,Lublin,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@wloskasztuka.piekarnia,Włoska Sztuka Piekarnia,Lublin,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@piekarnia_hunek,Piekarnia Hunek,Lublin,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@piekarnia_artystyczna,Piekarnia Artystyczna,Lublin,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@sarzynski_lublin,Sarzyński Lublin,Lublin,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@slodkoslodkolublin,Słodko Słodko,Lublin,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,682
@polonia_cafe_manufaktura_lodow,Polonia Cafe – Lubelska Manufaktura Lodów,Lublin,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@tuitam.lublin,Tu i Tam,Lublin,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@w_piekarniku,W Piekarniku (Marta Zając),Lublin,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@vaflove_zamosc,Vaflove,Zamość,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,618
@krysztalkacukiernia,Cukiernia Kryształka,Biała Podlaska,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@cukiernia_slodka,Cukiernia Słodka,Biała Podlaska,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@finezja.swidnik,Cukiernia Finezja,Świdnik,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@fabrykasmaku_cukiernia,Fabryka Smaku Cukiernia Lodziarnia,Świdnik,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@melacaffe_krasnik,Mela Caffe,Kraśnik,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@kuznia_cukiernia_leczna,Kuźnia Cukiernia,Łęczna,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@cukiernia_bilgoraj,Cukiernia Biłgorajska,Biłgoraj,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@olovecake,O'Lovecake,Tomaszów Lubelski,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@kremove_lody_wyjatkowe,Kremove – Lody Wyjątkowe,Nałęczów,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@lody_mietowe,Miętowe – Manufaktura Lodów,Kazimierz Dolny,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@lody_od_sarzynskich,Lody od Sarzyńskich,Kazimierz Dolny,cukiernia/lody,CUKIERNIA / LODY / PIEKARNIA,
@ostro_ristoteca,OSTRO,Lublin,sniadania/brunch,ŚNIADANIA / BRUNCH,9953
@pelier_bistro,Pelier,Lublin,sniadania/brunch,ŚNIADANIA / BRUNCH,12000
@cafe_mari,Cafe Mari,Lublin,sniadania/brunch,ŚNIADANIA / BRUNCH,3794
@restauracja.mandragora,Mandragora,Lublin,sniadania/brunch,ŚNIADANIA / BRUNCH,3999
@otwartacafe,Otwarta Cafe,Zamość,sniadania/brunch,ŚNIADANIA / BRUNCH,
@piekarnia_sarzynski,Piekarnia Sarzyński,Kazimierz Dolny,sniadania/brunch,ŚNIADANIA / BRUNCH,
@hosekilublin,Hōseki Sushi & Ramen,Lublin,sushi/azja,SUSHI / AZJA,
@oishi_sushi_lublin,Oishi Sushi and Ramen,Lublin,sushi/azja,SUSHI / AZJA,216
@masami_lublin,Masami / Josei Sushi,Lublin,sushi/azja,SUSHI / AZJA,1725
@matsu_sushi_lublin,Matsu Sushi & Wok,Lublin,sushi/azja,SUSHI / AZJA,
@azja_od_kuchni_lublin,Azja od Kuchni,Lublin,sushi/azja,SUSHI / AZJA,
@timtimramen,Tim Tim Ramen,Lublin,sushi/azja,SUSHI / AZJA,
@po.ramen.lublin,Po Ramen Lublin,Lublin,sushi/azja,SUSHI / AZJA,
@chinczyk.lublin,Chińczyk Wok This Way,Lublin,sushi/azja,SUSHI / AZJA,
@lins_restaurant,Lin's Restaurant,Lublin,sushi/azja,SUSHI / AZJA,
@restauracjawietnamskalublin,Phúc Lublin,Lublin,sushi/azja,SUSHI / AZJA,1918
@hanoinu.lublin,Hanoi n U,Lublin,sushi/azja,SUSHI / AZJA,869
@namasthai_restauracja,Namasthai,Lublin,sushi/azja,SUSHI / AZJA,1576
@sajgonlublin,Sajgon Lublin,Lublin,sushi/azja,SUSHI / AZJA,246
@restauracja_makani,Makani,Lublin,sushi/azja,SUSHI / AZJA,
@torii_sushi_leczna,Torii Sushi,Łęczna,sushi/azja,SUSHI / AZJA,1480
@magicbubblelublin,Magic Bubble,Lublin,boba/matcha,BOBA / MATCHA / HERBACIARNIA,
@bubble_tea_pulawy,Bubble Tea Puławy,Puławy,boba/matcha,BOBA / MATCHA / HERBACIARNIA,
@zielonytalerzyk,Zielony Talerzyk,Lublin,vegan,VEGAN / WEGE,
@veganbistropomylonegary,Vegan Bistro Pomylone Gary,Lublin,vegan,VEGAN / WEGE,
@trzeci_wymiar_lublin,Trzeci Wymiar,Lublin,vegan,VEGAN / WEGE,
@peccato.rynek18,Peccato di Gola,Lublin,wloska,RESTAURACJA,
@wloskasztuka,Wloska Sztuka,Lublin,wloska,RESTAURACJA,
@capo_pizza_cucina_italiana,Capo Pizza Cucina Italiana,Lublin,wloska,RESTAURACJA,3251
@trattoria.bagatto.pizzeria,Trattoria Bagatto Pizzeria,Lublin,wloska,RESTAURACJA,1416
@la_casa.lublin,La Casa Trattoria Lublin,Lublin,wloska,RESTAURACJA,
@atrium.lublin,Atrium Ristorante Pizzeria,Lublin,wloska,RESTAURACJA,
@za_kulisami_lublin,Restauracja Za Kulisami,Lublin,restauracja,RESTAURACJA,
@jazzve_restauracja,Jazzve Restauracja Kaukaska,Lublin,restauracja,RESTAURACJA,
@sielskoanielsko_lublin,Sielsko Anielsko,Lublin,restauracja,RESTAURACJA,
@odkuchni_staremiasto,Od Kuchni Stare Miasto,Lublin,restauracja,RESTAURACJA,
@como.restauracja,Restauracja Como,Lublin,restauracja,RESTAURACJA,
@halka_lublin,Halka Lublin,Lublin,restauracja,RESTAURACJA,
@popularna.lublin,Popularna,Lublin,restauracja,RESTAURACJA,
@stoliwol,Stol i Wol,Lublin,restauracja,RESTAURACJA,
@kuchniaotwarta_lublin,Kuchnia Otwarta,Lublin,restauracja,RESTAURACJA,
@biboszpub,Bibosz Pub Bar&Restauracja,Lublin,restauracja,RESTAURACJA,
@el_tiempo_lublin,El Tiempo Bar Bistro,Lublin,restauracja,RESTAURACJA,
@ukryta_restauracja,Ukryta,Lublin,restauracja,RESTAURACJA,
@wytrawny.pl,Bistro Wytrawny,Lublin,restauracja,RESTAURACJA,
@zyto.rest,Zyto,Lublin,restauracja,RESTAURACJA,3596
@staro__polska,Staropolska,Lublin,restauracja,RESTAURACJA,
@restauracjabursztynowa1,Bursztynowa 1,Lublin,restauracja,RESTAURACJA,
@pierogarnia_1go_maja24_lublin_,Pierogarnia 1-go Maja 24,Lublin,restauracja,RESTAURACJA,233
@pierogarnias,Pierogarnia Stolnica,Lublin,restauracja,RESTAURACJA,
@pierogarniarynek26,Pierogarnia Rynek 26,Lublin,restauracja,RESTAURACJA,
@nalesnikarniazadora,Zadora Nalesnikarnia Francuska,Lublin,restauracja,RESTAURACJA,749
@centralka.zamosc,Centralka,Zamość,restauracja,RESTAURACJA,
@krowanamiedzy,Krowa na Miedzy,Zamość,restauracja,RESTAURACJA,
@figazmakiemzamosc,Bistro Figa z Makiem,Zamość,restauracja,RESTAURACJA,
@bohema.restauracja,Restauracja Bohema,Zamość,restauracja,RESTAURACJA,591
@padwa.restauracja,Restauracja Padwa,Zamość,restauracja,RESTAURACJA,74
@luneta_zamosc,Luneta,Zamość,restauracja,RESTAURACJA,998
@restauracja_muzealna,Restauracja Muzealna Ormiańskie Piwnice,Zamość,restauracja,RESTAURACJA,
@patio.zamosc,Patio Restauracja & Cocktail Bar,Zamość,restauracja,RESTAURACJA,
@zamowgosciu,Zamów Gościu,Zamość,restauracja,RESTAURACJA,
@kuchniapulawy,Kuchnia Puławy,Puławy,restauracja,RESTAURACJA,
@centralparkbistro,Central Park Bistro,Puławy,restauracja,RESTAURACJA,1587
@staraoctowniaofficial,Stara Octownia,Puławy,restauracja,RESTAURACJA,93
@poprostu.rest,Po Prostu,Chełm,restauracja,RESTAURACJA,
@dumka_restauracja_,Dumka,Chełm,restauracja,RESTAURACJA,640
@imbryk.bistro,Imbryk Bistro,Chełm,restauracja,RESTAURACJA,84
@pstragowo,Pstrągowo,Chełm,restauracja,RESTAURACJA,3606
@hotelirestauracjaskala,Hotel i Restauracja Skala,Biała Podlaska,restauracja,RESTAURACJA,197
@stara_poczta_biala,Stara Poczta,Biała Podlaska,restauracja,RESTAURACJA,1508
@browarosjann,Browar Osjann,Biała Podlaska,restauracja,RESTAURACJA,423
@fabryka_lubartow,Restauracja Fabryka,Lubartów,restauracja,RESTAURACJA,
@restauracja_w_bramie,Restauracja w Bramie,Lubartów,restauracja,RESTAURACJA,
@restauracja_ludmila_krasnik,Restauracja Ludmiła,Kraśnik,restauracja,RESTAURACJA,
@rubio_restauracja,Restauracja Rubio,Kraśnik,restauracja,RESTAURACJA,
@chillout.bilgoraj,Chillout,Biłgoraj,restauracja,RESTAURACJA,
@grand_beef_restaurant,Grand Beef,Biłgoraj,restauracja,RESTAURACJA,
@finazifood,Finazi,Biłgoraj,restauracja,RESTAURACJA,
@restauracja_umami,Umami,Tomaszów Lubelski,restauracja,RESTAURACJA,312
@restauracjapatataj,Restauracja Patataj,Nałęczów,restauracja,RESTAURACJA,1024
@kaslik.kazimierzdolny,Restauracja Kaslik,Kazimierz Dolny,restauracja,RESTAURACJA,2244
@restauracja.batumi,Batumi – Kuchnia Gruzińska,Kazimierz Dolny,restauracja,RESTAURACJA,
@debowa_kazimierzdolny,Restauracja Dębowa,Kazimierz Dolny,restauracja,RESTAURACJA,
@akukurestauracja,Restauracja Akuku,Kazimierz Dolny,restauracja,RESTAURACJA,27000
@hamsakazimierzdolny,Hamsa,Kazimierz Dolny,restauracja,RESTAURACJA,4077
@artroom_kd,artROOM,Kazimierz Dolny,restauracja,RESTAURACJA,737
@restauracja_theo,Restauracja Theo,Kazimierz Dolny,restauracja,RESTAURACJA,
